Word,Cluster,X,Y,new_cluster
기분,10,25.037767,-0.47174752,16
음악,10,24.766972,-0.4323858,16
전환,15,31.012598,-0.44764677,18
드라이브,4,28.390688,-0.28999722,17
날,4,29.92794,-0.6964954,17
오늘,1,20.652891,-0.3412932,15
선곡,1,22.08781,-0.5012556,15
추억,10,23.238127,0.08140804,16
휴식,4,28.513302,-0.46854702,17
국내,5,13.517323,-0.15933006,13
해외,4,28.029276,-0.3773596,17
신,15,30.456766,-0.51426464,18
감성,1,19.230019,-0.005295202,15
발라드,19,0.7206026,0.22080453,9
여행,1,22.309202,0.21660513,15
편안,1,22.867002,-0.3864166,15
산책,10,23.880116,-0.22452189,16
카페,9,32.004086,-0.5068728,19
집,10,24.471066,-0.17040965,16
출,1,21.170933,-0.32897097,15
퇴근길,10,25.817818,-0.5046412,16
댄스,15,31.226995,-0.7153354,18
여름,4,29.099636,-0.39995182,17
가을,1,22.538311,-0.08890478,15
가요,11,16.658962,0.028379753,14
밤,1,19.842974,-0.14184953,15
운동,1,21.599676,0.21133779,15
잔잔,4,29.187874,-0.6820065,17
레이블,4,29.436205,-0.74529946,17
탑,15,30.721594,-0.9151576,18
휴가,1,20.023552,0.087577425,15
봄,11,17.766436,-0.009985129,14
팝,4,29.590324,-0.06689847,17
겨울,10,25.162916,-0.26506472,16
인기,1,20.668829,0.3288203,15
명곡,10,25.373413,-0.7033164,16
그루브,1,21.596989,-0.075621106,15
매장,4,29.5258,-0.12103839,17
차트,15,30.804142,-0.6661868,18
새벽,1,22.004824,-0.2846256,15
회상,11,16.873817,0.118841305,14
뮤직,10,25.72402,-0.21942529,16
그루브한,1,22.868732,-0.28380072,15
백,1,21.528769,0.7936499,15
스트레스,4,29.49078,-0.65098757,17
따뜻,1,20.061144,-0.1676696,15
오후,1,23.015366,-0.27067763,15
사랑,10,26.076658,-0.26218182,16
힙합,4,30.033258,-0.37398386,17
소울,11,17.172659,-0.13067792,14
저녁,11,17.048536,-0.12862729,14
인디,2,4.545747,0.20672211,10
헬스,11,17.469313,0.16889012,14
비,5,13.218273,-0.11132797,13
힐링,4,29.886349,-0.41771415,17
몽환,1,19.592304,-0.17481594,15
공부,9,32.065548,-0.48422647,19
행복,10,24.483614,-0.24211968,16
이별,19,1.1371658,0.22006984,9
노래방,11,17.963999,0.032587696,14
매혹,5,12.666655,0.25208756,13
도입부,10,25.704184,-0.31185764,16
노동요,5,14.230344,-0.059123155,13
슬픔,6,-1.1589845,0.4040967,8
달리기,1,19.718243,0.04788506,15
랩,8,10.03129,-0.025608178,12
팝송,10,25.549112,-0.08114541,16
자전거,10,23.353287,-0.12987094,16
노래,5,11.420285,0.13141526,13
일,15,31.094162,-0.12926339,18
케이팝,5,12.503627,0.0145345805,13
청량,10,23.349613,0.27354008,16
크리스마스,9,31.994236,-0.52989626,19
외로움,16,6.566419,0.19363669,11
댄서블한,10,24.989199,-0.2503564,16
아침,5,14.453046,0.18205243,13
알앤비,5,11.861373,0.1107822,13
재즈,4,28.90314,-0.7485652,17
추천,4,28.751238,-0.64418095,17
달콤,8,10.02551,0.026797334,12
특집,15,30.923557,-0.40556565,18
파티,9,32.164654,-0.5134465,19
아이돌,8,10.478623,0.17466752,12
리스트,5,12.745559,0.20732045,13
방해,10,25.821318,0.47414938,16
금지,10,24.351446,0.7211159,16
모드,10,24.36562,0.67125636,16
일상,10,25.163034,-0.005046752,16
트렌디,11,16.793133,0.027860057,14
더위,5,12.924054,-0.19869678,13
짜증,11,17.441576,-0.11085628,14
메탈,8,9.776587,-0.13523659,12
플레이,8,10.243496,0.25480238,12
하우스,15,30.981169,-0.7693936,18
드라마,8,9.010969,0.36056855,12
시원,8,9.748564,0.40441042,12
락,8,9.58725,-0.10673972,12
스타,8,9.293163,0.42299986,12
감각,4,29.104095,-0.21912186,17
거리,16,7.1652403,0.1882505,11
브금,14,-3.1063347,0.08116182,7
위,19,1.1313753,0.2197388,9
명품,13,-21.343851,-0.037017252,2
연주,5,13.171481,0.5322221,13
그리움,17,-6.4929194,0.047200736,6
클래식,10,26.296385,-0.21046422,16
워너비,2,3.806514,0.07065273,10
곡,6,-0.7273111,0.071175575,8
스페셜,1,19.577208,0.16582948,15
걷기,2,4.3309684,0.29683238,10
아련,13,-19.118235,-0.32460502,2
분위기,1,22.937891,0.106473505,15
리메이크,6,-0.9802039,0.04858524,8
라운지,5,13.229675,0.2619361,13
기쁨,6,-0.9086093,0.43485594,8
