Song,Singer,Playlist,Tag,Cluster,mean_cluster,std
#Christmas (Vocal 달소영),피아노의 숲,내일을 기다리는 들뜬 기분과 함께할 플레이리스트,"설렘, 출/퇴근길, 편안한, 가요, 따뜻한, 오늘의선곡","[15, 15, 15, 15, 16, 14, 15, 8, 12, 3]",12.8,3.9446165846632044
#TWERKIT (Explicit Version),Busta Rhymes,[스우파] 스트릿우먼파이터에 나온 노래들! - 지속 업데이트!,"스맨파, 스트릿우먼, dance","[12, 11, 10, 10]",10.75,0.82915619758885
#Twerkit (Explicit Version) (Feat. Nicki Minaj),Busta Rhymes,스우파 과몰입러의 플리 (믓찌다 믓찌다 우뤼언니),"힙합, 스웩, 댄스, OST, 카리스마","[18, 17, 17, 13, 10]",15.0,3.03315017762062
#beer,KURO,시원한 여름을 위한 플레이리스트!,"여름, 2010년대, 가요, 편안한, 레이블 PICK, 인디, 국내음악","[16, 13, 15, 17, 14, 17, 10, 5, 2, 1]",11.0,5.865151319446072
#seoulcitypopfreestyle,홈보이 (Homeboy) & 원슈타인,여름에도 그루브 타는 플레이리스트,"인디, 그루브한, 기분전환, 맑은날, 드라이브, 밤, 산책, 오늘의선곡","[16, 18, 17, 17, 15, 15, 16, 15, 15, 15, 10, 8, 15, 7, 2]",13.4,4.37873649964614
#불편해 (Feat. 강민희 (미스에스)),렉스디 (REX.D),그루브타고 싶어지는 매력적인 음악,"드라이브, 부드러운, 그루브한, 맑은날","[17, 17, 15, 15, 2]",13.2,5.670978751503131
#첫사랑,볼빨간사춘기,봄을 부르는 인디 TOP100,"인디, 봄, 탑백","[18, 14, 15, 10, 4]",12.2,4.833218389437829
$100 Dollar Bill Ya'll,Ice Cube,[스우파] 스트릿우먼파이터에 나온 노래들! - 지속 업데이트!,"OST, 댄스, 스트릿우먼, 스웩, 갈라토크쇼, 멋짐","[18, 14, 14, 12, 10, 10, 10]",12.571428571428571,2.7701027756664733
'Til You Do Me Right,After 7,분위기에 취해! 내 안의 소울을 깨워 주는 그루비한 플레이리스트,"R&B/소울, 밤, 그루브한, 집, POP","[16, 15, 15, 15, 14]",15.0,0.6324555320336759
(Not) The One,Bebe Rexha,"지금, 가장 달콤하고 매혹적인 플레이리스트","몽환적인, 부드러운, POP, 오늘의선곡, 달콤한, 휴식","[15, 15, 17, 15, 12, 8, 3, 0]",10.625,5.893587617063142
(They Long To Be) Close To You,The Carpenters,"세월이 흘러도 영원할 명곡, LP판 감성의 올드팝","차트, 추억, Pop, 회상, 인기, LP, 기분전환","[16, 18, 16, 15, 18, 14, 15, 7, 0]",13.222222222222221,5.593205754956986
...사랑했잖아...,린,추천 ♬ 잊혀질리 없는 명품 발라드 ♪ No.23,"가을, 기쁨, MP3, 이별, TOP100, 인기, 명곡, ralalra, 노랫말을듣는다, 추억, 싸이월드","[16, 15, 15, 16, 9, 8, 8, 15, 2, 2, 1]",9.727272727272727,5.7539063267078765
...사랑했잖아...,린 (LYn),[가요] 이 노래 ㄱ나니?,"2000년대, 그리움, 스타플레이리스트, 발라드, 밤, 가요, 흐린날, 뉴트로 뮤우-직, 랩/힙합, 추억","[17, 16, 9, 14, 15, 17, 12, 13, 12, 12, 6, 17, 5, 1, 2]",11.2,5.230678732248808
0 (데이브레이크 이원석 Ver.),페이프 (Pijp),나 홀로 즐기는 플레이리스트 ＃NIGHT,"R&B/소울, 휴식, 몽환적인, 오늘의선곡, 부드러운, 집","[15, 15, 17, 16, 14, 15, 8, 3]",12.875,4.512136411945011
00:00 (Zero O’Clock),방탄소년단,○ 좋아요 10만 넘은곡들 순서대로(상시업뎃) ○,"추억, 좋아요10만",[16],16.0,0.0
0310,백예린 (Yerin Baek),섬세한 내 마음에 가을이 오면,"가요, TODAY PICK, 밤, 발라드, 가을, 국내음악","[16, 13, 9, 15, 14, 15]",13.666666666666666,2.2852182001336816
0728,Zoe,오늘 꼭! 들어봐야 할 최신 '인디',"블루스/포크, 2020년대, 오늘의선곡","[15, 15, 8, 5, 5, 5]",8.833333333333334,4.487637339278753
07월 24일,Zoë Evans,도입부 3초만에 바로 반해버린 인생 팝송 ②,"힐링, 도입부, 센치한, 감성, 드라이브","[17, 15, 17, 16, 2]",13.4,5.748043145279966
1 In A Million,ASTRO (아스트로),사이다가 필요 없는 청량 가득 아이돌 플레이리스트,"아이돌, 맑은날, 드라이브, 국내음악, 가요, 해변, 기분전환, 더운날","[16, 16, 18, 17, 17, 13, 14, 12, 9, 15, 7, 2]",13.0,4.600724580614087
1 Night (Feat. Charli XCX),Mura Masa,감각적이고 분위기 있는 일렉트로닉 사운드,"기분전환, 해외음악, 맑은날, 드라이브","[16, 16, 18, 17, 17, 17, 15, 7, 2]",13.88888888888889,5.2163087085802236
"1, 2 Step (Feat. Missy Elliott) (Main)",Ciara,당신의 댄스본능을 깨워줄 댄서블한 POP,"오늘의선곡, 해외음악, 2000년대, 클럽, 밤","[16, 15, 15, 17, 15, 8, 8, 5]",12.375,4.29934588047996
"1,000,000 X Better",Griff & HONNE,일상의 텐션으로 스위치 ON!,"설연휴특집, 드라이브, 기분전환, 오후, 맑은날, POP","[16, 18, 17, 17, 16, 15, 18, 13, 15, 12, 7, 2]",13.833333333333334,4.633812924819281
"1,2,3,4. (원,투,쓰리,포.)",코요태,추억의 노동요 90-2000년대 신나는 댄스곡,"댄스, 흥겨운, 기분전환, 운동, 헬스","[16, 18, 18, 15, 14, 15, 9, 7]",14.0,3.7416573867739413
1-800,Kye Colors,언제 어디서나 분위기 메이커 !! 미디엄 템포 Love,"카페, 팝, groove, 기분전환, Pop","[16, 18, 19, 17, 15, 7]",15.333333333333334,3.9440531887330774
1/10,브로콜리너마저,"가을이니깐, 들으면서 쉬다 가요","가을, 2010년대, 카페, 국내음악, 오늘의선곡","[16, 15, 15, 13, 19, 15, 8, 5]",13.25,4.264680527307995
1/1440 (Feat. 지샤넬),헤이즈 (Heize),선선한 여름밤에 듣는 감성 충전 음악들,"맑은날, 오늘의선곡, 2010년대, 기분전환, R&B/소울, 산책","[16, 18, 17, 15, 15, 16, 14, 8, 15, 5, 7]",13.272727272727273,4.223116236122522
10 MINUTES,이효리,효리네 민박 13회,방송,"[1, 3]",2.0,1.0
"10,000 Hours",Dan + Shay,브이로그 재질 브금 TOP100,"팝, 탑백, 도입부, 인기","[18, 17, 15, 15, 16, 15, 4]",14.285714285714286,4.333071682315172
100 Degrees,Public Library Commute,언제 들어도 기분 좋아지는 멜로디의 POP,"산책, 드라이브, 힐링, 행복","[17, 16, 17, 16, 2]",13.6,5.817215828899595
100 Degrees,Rich Brian,한주의 시작에 생기를 불어줄 신나는 팝!,"운동, 댄서블한, 출/퇴근길, 오후, 오늘의선곡, 봄","[15, 15, 15, 16, 15, 14, 15, 16, 8, 10, 3]",12.909090909090908,3.964720452246641
100 Rays,보은,고요하게 여운을 남기는 발라드,"집, 발라드, 2010년대, 밤, 가을, 흐린날","[17, 9, 16, 15, 15, 5]",12.833333333333334,4.336537277085896
100% 로맨틱,민설,추억이 새록새록 떠오르는 싸이월드 BGM,"추억, 싸이월드, 브금, bgm","[16, 7, 2, 1]",6.5,5.937171043518958
